name,address,place_id,rating,reviews,price_level,website,arrondissement,street_name
l'hirondelle - paris 4,"42 bd henri iv, 75004 paris, france",ChIJbx5jVqtz5kcRs9WcfbHolZ0,4.7,391,,https://wiicmenu-qrcode.com/app/offre.php?resto=1440,4,bd henri iv
au bourguignon du marais,"52 rue françois miron, 75004 paris, france",ChIJY2oZZf1x5kcRZTsJlVMjTOg,4.6,2939,2.0,http://aubourguignondumarais.fr/?utm_source=gmb,4,rue françois miron
les deux palais,"3 bd du palais, 75004 paris, france",ChIJIVhOliRu5kcRnyj3wbCBrmk,4.4,3034,2.0,https://www.brasserielesdeuxpalais.fr/,4,bd du palais
l'alsacien châtelet - restaurant / bar à flammekueches,"6 rue saint-bon, 75004 paris, france",ChIJu_io1h1u5kcRV737GjvtdwE,4.6,2865,2.0,https://www.lalsacien.com/restaurant-alsacien-paris/,4,rue saint-bon
les fous de l'ile,"33 rue des deux ponts, 75004 paris, france",ChIJRVHK6vxx5kcRuRbWm20W4NI,4.3,1498,2.0,https://lesfous.paris/,4,rue des deux ponts
paris beaubourg,"23 rue saint merri, 12 rue brisemiche, 75004 paris, france",ChIJ5cCBKkhv5kcRi87pu-J_fSc,4.3,974,,https://parisbeaubourg.fr/,4,rue saint merri
le saint-regis - paris,"6 rue jean du bellay, 75004 paris, france",ChIJ7ayOGeNx5kcReHHR9KTXiz0,4.4,2375,2.0,http://www.lesaintregis-paris.com/,4,rue jean du bellay
chez mademoiselle,"16 rue charlemagne, 75004 paris, france",ChIJQbXTwP1x5kcRr7XXex7JA2A,4.6,1226,2.0,http://chezmademoiselleparis.fr/fr,4,rue charlemagne
le beef burger steakhouse archives,"15 rue des archives, 75004 paris, france",ChIJK28Fg95v5kcRillgKZjRyd4,4.5,178,,https://beef.fr/,4,rue des archives
le trésor,"9 rue du trésor, 75004 paris, france",ChIJAZAKkwJu5kcRh8LXJESMNeI,4.1,1880,2.0,http://www.restaurantletresor.com/,4,rue du trésor
le trumilou,"84 quai de l'hôtel de ville, 75004 paris, france",ChIJQRaGlOJx5kcRlkk2qr32zWg,4.4,930,2.0,https://www.letrumilou.fr/,4,quai de l'hôtel de ville
le rempart bastille,"15 rue saint-antoine, 75004 paris, france",ChIJDf4jgf9x5kcRB6AIVMypZS4,4.7,3179,1.0,https://www.lerempartbastille.fr/,4,rue saint-antoine
bistrot marguerite,"1 pl. de l'hôtel de ville, 75004 paris, france",ChIJVccn-R1u5kcRF9FsB_tpRpk,4.1,2427,2.0,https://restaurant.digityser.com/83,4,pl. de l'hôtel de ville
le petit marcel,"65 rue rambuteau, 75004 paris, france",ChIJ_0Wm5Btu5kcRIRhQosDYhYw,4.1,1419,2.0,https://lepetitmarcelparis.fr/,4,rue rambuteau
grandcœur,"41 rue du temple, 75004 paris, france",ChIJkUOQ9Bxu5kcRWHpBtoWl0iA,4.4,1541,3.0,http://www.grandcoeur.paris/,4,rue du temple
le sully,"6 bd henri iv, 75004 paris, france",ChIJY5oZS_lx5kcRii4lQU3PQn4,4.1,392,2.0,http://www.lesully.com/,4,bd henri iv
bistrot la grange - restaurant paris 5,"17 rue lagrange, 75005 paris, france",ChIJSXaotuZx5kcRdYvJCOtJjCY,4.6,356,2.0,https://bistrot-la-grange.fr/,5,rue lagrange
bistro des lettres,"52 bd saint-germain, 75005 paris, france",ChIJI7jEef5x5kcRkWRFsJD96So,4.8,1178,,http://www.bistrodeslettres.com/,5,bd saint-germain
le balzar,"49 rue des écoles, 75005 paris, france",ChIJW-zV8t1x5kcRVQ2AiWJWpXw,4.1,678,2.0,http://www.brasseriebalzar.com/?utm_source=Google&utm_medium=GMB&utm_campaign=brasserie002,5,rue des écoles
brasserie le quartier général,"82 bd saint-germain, 75005 paris, france",ChIJay8JMudx5kcRkdMl7OdFdRk,4.2,1416,2.0,https://www.cafelequartiergeneral.com/,5,bd saint-germain
le bistrot du perigord,"71 rue saint-jacques, 75005 paris, france",ChIJG0s2Fedx5kcRY6Su2Sva7K8,4.6,915,2.0,https://www.lebistroduperigord.fr/,5,rue saint-jacques
au moulin à vent,"20 rue des fossés saint-bernard, 75005 paris, france",ChIJO9_c1eRx5kcRHOOxQmeood4,4.7,956,2.0,https://www.au-moulinavent.com/,5,rue des fossés saint-bernard
le duo d & s,"3 rue des feuillantines, 75005 paris, france",ChIJx1X8AcJx5kcRivskBjqpVrA,4.8,397,1.0,https://www.leduods.fr/,5,rue des feuillantines
l'orée du parc,"9 rue de l'abbé de l'épée, 75005 paris, france",ChIJF4ynYVVx5kcRijph_r5r-bU,4.4,143,,https://www.instagram.com/brasserie.loree.du.parc/,5,rue de l'abbé de l'épée
la petite périgourdine,"39 rue des écoles, 75005 paris, france",ChIJUyq75EZx5kcRM8tHPzSrDbk,4.3,1158,2.0,https://www.restaurantlapetiteperigourdine.com/,5,rue des écoles
au petit bistrot,"89 rue mouffetard, 75005 paris, france",ChIJEQ7wuu5x5kcRA1UJYfRTybA,4.4,890,2.0,https://www.wiictechnology.com/WiiC_clouds/offre.php?resto=529,5,rue mouffetard
la petite,"53 rue lacépède, 75005 paris, france",ChIJexdqMO9x5kcR-5F9JAfALbI,4.6,1158,,https://lapetite.mimohca.com/,5,rue lacépède
le vieux bistrot,"54 rue mouffetard, 75005 paris, france",ChIJCTXT1u5x5kcRl6466_sFOXc,4.6,1647,2.0,https://levieuxbistrot-paris.fr/,5,rue mouffetard
café restaurant jules,"119 bis rue monge, 75005 paris, france",ChIJc_aNNwBx5kcRuGMhYHbNvxk,5.0,129,,https://www.caferestaurantjules.fr/,5,bis rue monge
au bon coin,"21 rue de la collégiale, 75005 paris, france",ChIJr9UiBO1x5kcR44kL6JMcmww,4.5,892,2.0,http://www.auboncoin-bistrot.com/,5,rue de la collégiale
monk la taverne de cluny,"51 rue de la harpe, 75005 paris, france",ChIJ18XBA95x5kcR-01xNPx_X10,4.4,1496,2.0,https://monklatavernedecluny.com/,5,rue de la harpe
