url,matching_links
https://www.privateaser.com/lieu/47662-brasserie-celina,https://www.google.com/maps/search/?api=1&query=77%20Rue%20Claude%20Bernard%2075005%20Paris&query_place_id=ChIJkb4-HHBx5kcRuwzpQpfFjBU
http://www.grandcoeur.paris/,"http://www.grandcoeur.paris/le-menu/,http://www.grandcoeur.paris/bon-cadeau-menu-65/,http://www.grandcoeur.paris/bon-cadeau-menu-accordmetsvins/"
https://www.au-moulinavent.com/,"https://userdocs.zenchef.com/363128/Nh4NBfnWWMU5O3zwbanEEUzm9mWbuJQ3MjR5wFw9.pdf,https://userdocs.zenchef.com/363128/L5nRyYarIcjIILUr8RiBpINNmz8EqKPfXAEIB93W.pdf"
https://lepetitmarcelparis.fr/,https://lepetitmarcelparis.fr/brasserie-paris5-paris11/
https://www.restaurantlapetiteperigourdine.com/,https://wiicmenu-qrcode.com/app/offre.php?resto=924
https://wiicmenu-qrcode.com/app/offre.php?resto=529,#
https://www.levieuxbistrot-paris.fr/,"['/menus-carte/', '/menus-carte/#menu-459033', '/menus-carte/#menu-459150', '/menus-carte/#menu-459152', None]"
https://www.caferestaurantjules.fr/,/menus-carte/
https://bistrot-la-grange.fr/fr,https://bistrot-la-grange.fr/fr/services
http://www.leparisparis.fr/,carte.htm
https://www.vagenende.com/,/carte
https://auboncoin-bistrot.com/,https://auboncoin-bistrot.com/menu/
https://www.brasserieoneil.com/,/nos-menus
https://www.hotellutetia.com/fr/gastronomie-paris/brasserie/,"https://www.hotellutetia.com/content/uploads/2024/09/BREAKFAST-MENU-OCTOBRE-2024.pdf,https://www.hotellutetia.com/content/uploads/2024/12/LUTETIA-BRASSERIE-MENU-FR.pdf,https://www.hotellutetia.com/content/uploads/2024/12/LUTETIA-BRASSERIE-MENU-DESSERTS.pdf,https://www.hotellutetia.com/content/uploads/2024/09/SEA-FOOD-MENU-MI-SEPTEMBRE-2024.pdf"
https://www.leduods.fr/,/carte
http://aubourguignondumarais.fr/?utm_source=gmb,"/#carte,http://aubourguignondumarais.fr/wp-content/uploads/2025/01/bourguignon_2025_uk-scaled.jpg"
https://www.chezfernand-guisarde.com/,https://www.chezfernand-guisarde.com/la-carte/
https://www.brasserielipp.fr/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-418342,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-418341,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#la-carte"
https://www.auchienquifume.com/,https://www.auchienquifume.com/cartes-et-menus/
https://lechoupinet.com/,https://lechoupinet.com/lacarte
https://www.privateaser.com/lieu/40409-les-insouciants,https://www.google.com/maps/search/?api=1&query=116%20Boulevard%20Saint-Germain%2075006%20Paris&query_place_id=ChIJD-hewrVx5kcRs8mVqOTz3B0
https://monklatavernedecluny.com/en/,/en/la-carte/
https://www.mooseparis.com/,https://www.mooseparis.com/menu/
https://www.cafelequartiergeneral.com/p/cafe-le-quartier-general-paris,"[None, 'https://lor.paris/m/cafe-le-quartier-general-paris/5eee9603-d71b-462b-b397-3a2fe491a426']"
